ball_x,ball_y,speed_x,speed_y,time_to_hit,pred_x,my_x,blocker_x,blocker_y,action
142,266,-8,-8,23.25,44.0,20,60,240,NONE
T
134,258,-8,-8,999,100,70,55,240,MOVE_RIGHT
134,258,-8,-8,22.25,44.0,15,55,240,MOVE_RIGHT
126,250,-8,-8,21.25,44.0,15,50,240,MOVE_RIGHT
126,250,-8,-8,999,100,70,50,240,MOVE_RIGHT
118,242,-8,-8,20.25,44.0,20,45,240,NONE
118,242,-8,-8,999,100,75,45,240,MOVE_RIGHT
110,234,-8,-8,19.25,44.0,20,40,240,NONE
110,234,-8,-8,999,100,75,40,240,MOVE_RIGHT
102,226,-8,-8,999,100,70,35,240,MOVE_RIGHT
102,226,-8,-8,18.25,44.0,15,35,240,MOVE_RIGHT
94,218,-8,-8,17.25,44.0,20,30,240,NONE
94,218,-8,-8,999,100,75,30,240,MOVE_RIGHT
86,210,-8,-8,16.25,44.0,20,25,240,NONE
86,210,-8,-8,999,100,80,25,240,NONE
78,202,-8,-8,15.25,44.0,20,20,240,NONE
78,202,-8,-8,999,100,85,20,240,MOVE_LEFT
69,193,-9,-9,12.555555555555555,44.0,15,15,240,MOVE_RIGHT
69,193,-9,-9,999,100,85,15,240,MOVE_LEFT
60,184,-9,-9,11.555555555555555,44.0,15,10,240,MOVE_RIGHT
60,184,-9,-9,999,100,80,10,240,NONE
51,175,-9,-9,10.555555555555555,44.0,15,5,240,MOVE_RIGHT
42,166,-9,-9,999,100,90,0,240,MOVE_LEFT
42,166,-9,-9,9.555555555555555,44.0,10,0,240,MOVE_RIGHT
33,157,-9,-9,8.555555555555555,44.0,15,5,240,MOVE_RIGHT
24,148,-9,-9,7.555555555555555,44.0,20,10,240,NONE
24,148,-9,-9,999,100,80,10,240,NONE
15,139,-9,-9,999,100,75,15,240,MOVE_RIGHT
15,139,-9,-9,6.555555555555555,44.0,15,15,240,MOVE_RIGHT
6,130,-9,-9,5.555555555555555,44.0,15,20,240,MOVE_RIGHT
6,130,-9,-9,999,100,80,20,240,NONE
0,121,-6,-9,999,100,75,25,240,MOVE_RIGHT
333332,15,25,240,MOVE_LEFT
9,112,9,-9,999,100,75,30,240,MOVE_RIGHT
9,112,9,-9,3.5555555555555554,41.0,10,30,240,MOVE_RIGHT
18,103,9,-9,2.5555555555555554,41.0,15,35,240,MOVE_RIGHT
18,103,9,-9,999,100,80,35,240,NONE
27,94,9,-9,999,100,85,40,240,MOVE_LEFT
27,94,9,-9,1.5555555555555556,41.0,20,40,240,NONE
36,85,9,-9,0.5555555555555556,41.0,25,45,240,NONE
36,85,9,-9,999,100,80,45,240,NONE
45,80,9,-5,999,100,85,50,240,MOVE_LEFT
54,89,9,9,36.77777777777778,15.0,85,55,240,MOVE_LEFT
63,98,9,9,35.77777777777778,15.0,80,60,240,MOVE_LEFT
72,107,9,9,34.77777777777778,15.0,75,65,240,MOVE_LEFT
72,107,9,9,999,100,35,65,240,MOVE_RIGHT
81,116,9,9,33.77777777777778,15.0,70,70,240,MOVE_LEFT
90,125,9,9,999,100,45,75,240,MOVE_RIGHT
90,125,9,9,32.77777777777778,15.0,65,75,240,MOVE_LEFT
99,134,9,9,31.77777777777778,15.0,60,80,240,MOVE_LEFT
99,134,9,9,999,100,50,80,240,MOVE_RIGHT
108,143,9,9,30.77777777777778,15.0,55,85,240,MOVE_LEFT
108,143,9,9,999,100,55,85,240,MOVE_RIGHT
117,152,9,9,999,100,60,90,240,MOVE_RIGHT
40,MOVE_LEFT
